time,enc_pos,voltagep_motor,voltagep_rightmotor,voltage,current_motor,current_rightmotor,zeroed,endlogtime
2.2575990000000004,-665,0.0,0.0,12.4,0.0,0.0,0,2.2659480000000003
2.451606000000001,-665,-0.09970674486803519,0.09970674486803519,12.35,0.25,0.375,0,2.463732
2.6503870000000007,-666,-0.09970674486803519,0.09970674486803519,12.25,0.25,0.375,0,2.656482
2.7647380000000013,-666,-0.09970674486803519,0.09970674486803519,12.25,0.25,0.25,0,2.7698780000000007
2.8363090000000013,-666,-0.09970674486803519,0.09970674486803519,12.25,0.25,0.25,0,2.860179
3.1064170000000013,-666,-0.09970674486803519,0.09970674486803519,12.25,0.125,0.25,0,3.1418420000000005
3.344787,-666,-0.09970674486803519,0.09970674486803519,12.25,0.25,0.25,0,3.349504000000001
3.42916,-666,-0.09970674486803519,0.09970674486803519,12.25,0.25,0.25,0,3.430755000000001
3.4956319999999996,-666,-0.09970674486803519,0.09970674486803519,12.25,0.25,0.25,0,3.503195
3.5821620000000003,-666,-0.09970674486803519,0.09970674486803519,12.25,0.25,0.375,0,3.586112000000001
3.656019,-666,-0.09970674486803519,0.09970674486803519,12.25,0.25,0.375,0,3.659862000000001
3.7408270000000012,-666,-0.09970674486803519,0.09970674486803519,12.25,0.25,0.375,0,3.7456110000000007
3.8163330000000006,-666,-0.09970674486803519,0.09970674486803519,12.25,0.25,0.375,0,3.826478000000001
3.895276,-666,-0.09970674486803519,0.09970674486803519,12.25,0.25,0.375,0,3.899762000000001
3.9750500000000013,-666,-0.09970674486803519,0.09970674486803519,12.25,0.25,0.25,0,3.981168
5.4976,-666,0.0,0.0,12.35,0.0,0.0,1,5.502928
5.582172000000001,0,-0.09970674486803519,0.09970674486803519,12.35,0.125,0.25,1,5.586907000000001
5.665115,0,-0.09970674486803519,0.09970674486803519,12.35,0.125,0.375,1,5.666726000000001
5.7355670000000005,0,-0.09970674486803519,0.09970674486803519,12.25,0.25,0.25,1,5.744538
5.83451,-1,-0.09970674486803519,0.09970674486803519,12.25,0.25,0.375,1,5.8378369999999995
5.918642,-1,-0.09970674486803519,0.09970674486803519,12.25,0.25,0.5,1,5.929336999999999
5.9918119999999995,-1,-0.09970674486803519,0.09970674486803519,12.25,0.25,0.375,1,5.995751
6.072546,-1,-0.09970674486803519,0.09970674486803519,12.25,0.25,0.375,1,6.078183000000001
6.158499,-1,-0.09970674486803519,0.09970674486803519,12.25,0.25,0.375,1,6.165869000000001
6.251725,-1,-0.09970674486803519,0.09970674486803519,12.25,0.25,0.375,1,6.259685999999999
6.34534,-1,-0.09970674486803519,0.09970674486803519,12.25,0.25,0.375,1,6.349523000000001
6.417607,-1,-0.09970674486803519,0.09970674486803519,12.25,0.25,0.5,1,6.422346999999999
6.503184000000001,-1,-0.09970674486803519,0.09970674486803519,12.25,0.25,0.375,1,6.507926000000001
9.558465,-1,0.0,0.0,12.35,0.0,0.0,1,9.562823
9.650563,-1,-0.09970674486803519,0.09970674486803519,12.35,0.125,0.25,1,9.652256000000001
9.734931000000001,-1,-0.09970674486803519,0.09970674486803519,12.25,0.25,0.5,1,9.738268
9.825301000000001,-1,-0.09970674486803519,0.09970674486803519,12.25,0.25,0.375,1,9.827530000000001
9.895489,-1,-0.09970674486803519,0.09970674486803519,12.25,0.25,0.5,1,9.901898000000001
9.971509,-1,-0.09970674486803519,0.09970674486803519,12.25,0.25,0.5,1,9.976842000000001
10.06019,-1,-0.09970674486803519,0.09970674486803519,12.25,0.25,0.5,1,10.064095000000002
10.150014,-1,-0.09970674486803519,0.09970674486803519,12.25,0.25,0.5,1,10.156928
10.230428,-1,-0.09970674486803519,0.09970674486803519,12.25,0.25,0.375,1,10.236324
10.311846,-1,-0.09970674486803519,0.09970674486803519,12.25,0.25,0.375,1,10.313804
10.402697,-1,-0.09970674486803519,0.09970674486803519,12.25,0.25,0.5,1,10.407917000000001
10.48099,-1,-0.09970674486803519,0.09970674486803519,12.25,0.25,0.375,1,10.488898
10.56259,-1,-0.09970674486803519,0.09970674486803519,12.25,0.25,0.375,1,10.569955
10.644508,-1,-0.09970674486803519,0.09970674486803519,12.200000000000001,0.25,0.375,1,10.653371
10.740524,-66,-0.7996089931573802,0.42424242424242425,12.200000000000001,13.25,2.5,1,10.752114
10.834973000000002,-559,-0.7996089931573802,0.8729227761485826,10.9,16.0,12.25,1,10.841489000000001
10.937134000000002,-1448,-0.7996089931573802,1.0,10.9,5.625,18.0,1,10.943743000000001
11.033033999999999,-2436,-0.7996089931573802,1.0,10.5,4.875,16.25,1,11.03475
11.129637999999998,-3447,-0.7996089931573802,1.0,10.65,4.625,16.75,1,11.132546999999999
11.222427,-4461,-0.7996089931573802,1.0,10.65,4.25,16.25,1,11.227692
11.322842000000001,-5485,-0.7996089931573802,1.0,10.55,4.25,16.875,1,11.33397
11.434634000000003,-6494,-0.7996089931573802,1.0,10.55,4.125,17.75,1,11.436637999999999
11.526038,-7507,-0.7996089931573802,1.0,10.55,4.125,16.875,1,11.531577
11.612382000000002,-8318,-0.7996089931573802,1.0,10.55,4.0,17.0,1,11.614472000000001
11.701516999999999,-9135,-0.7996089931573802,1.0,10.55,3.75,17.625,1,11.706653999999999
11.800227,-10168,-0.7996089931573802,1.0,10.45,4.0,17.375,1,11.809393
11.900247,-11171,-0.7996089931573802,1.0,10.45,4.625,17.625,1,11.908998
11.989666000000001,-12151,-0.7996089931573802,1.0,10.5,5.0,17.5,1,11.994325
12.097042000000002,-13135,-0.7996089931573802,1.0,10.45,5.125,17.375,1,12.100848000000001
12.181589,-13914,-0.7996089931573802,1.0,10.45,5.125,17.875,1,12.193925
12.294518,-14899,-0.09970674486803519,0.5210166177908113,10.850000000000001,0.0,7.75,1,12.302683
12.38439,-15167,-0.09970674486803519,0.12218963831867058,10.850000000000001,0.0,2.0,1,12.386577
12.481647,-15248,-0.09970674486803519,0.09970674486803519,12.0,0.0,0.375,1,12.485066
12.561164000000002,-15307,-0.09970674486803519,0.09970674486803519,12.05,0.0,0.375,1,12.567682000000001
12.636052,-15378,-0.09970674486803519,0.09970674486803519,12.05,0.0,0.375,1,12.640117000000002
12.726653999999998,-15380,-0.09970674486803519,0.09970674486803519,12.05,0.375,0.375,1,12.730649000000001
12.809811000000002,-15380,-0.09970674486803519,0.09970674486803519,12.05,0.375,0.375,1,12.814107
12.902773000000002,-15380,-0.09970674486803519,0.09970674486803519,12.05,0.25,0.375,1,12.914528000000002
12.994639,-15380,-0.09970674486803519,0.09970674486803519,12.05,0.375,0.5,1,13.000950000000001
13.08955,-15380,-0.09970674486803519,0.09970674486803519,12.1,0.375,0.5,1,13.091439999999999
13.161591,-15380,-0.09970674486803519,0.09970674486803519,12.1,0.375,0.5,1,13.172833999999998
13.254928,-15380,-0.09970674486803519,0.09970674486803519,12.1,0.375,0.5,1,13.258241000000002
13.350736000000001,-15380,-0.09970674486803519,0.09970674486803519,12.1,0.25,0.5,1,13.352744999999999
13.441117000000002,-15380,-0.09970674486803519,0.09970674486803519,12.1,0.25,0.5,1,13.448188000000002
13.534381000000002,-15380,-0.09970674486803519,0.09970674486803519,12.1,0.375,0.5,1,13.537171000000003
13.617894,-15380,-0.09970674486803519,0.09970674486803519,12.1,0.375,0.5,1,13.623327000000002
13.709833999999999,-15380,-0.09970674486803519,0.09970674486803519,12.1,0.375,0.5,1,13.713477
13.796267,-15380,-0.09970674486803519,0.09970674486803519,12.1,0.375,0.5,1,13.800034
13.887963,-15380,-0.09970674486803519,0.09970674486803519,12.15,0.25,0.5,1,13.889614000000002
13.96954,-15380,-0.09970674486803519,0.09970674486803519,12.15,0.375,0.5,1,13.971328000000002
14.060341000000001,-15380,-0.09970674486803519,0.09970674486803519,12.1,0.375,0.5,1,14.065006
14.144939999999998,-15380,-0.09970674486803519,0.09970674486803519,12.1,0.375,0.5,1,14.148844
14.234763999999998,-15380,-0.09970674486803519,0.09970674486803519,12.15,0.375,0.5,1,14.244449000000001
14.326734,-15380,-0.09970674486803519,0.09970674486803519,12.1,0.25,0.5,1,14.332424999999999
14.425448000000001,-15380,-0.09970674486803519,0.09970674486803519,12.1,0.25,0.5,1,14.430888
14.513337,-15380,-0.09970674486803519,0.09970674486803519,12.15,0.375,0.5,1,14.518810000000002
14.608465,-15380,-0.09970674486803519,0.09970674486803519,12.15,0.375,0.5,1,14.612264
14.691154,-15380,-0.09970674486803519,0.09970674486803519,12.200000000000001,0.25,0.5,1,14.695152000000002
14.78261,-15380,-0.09970674486803519,0.09970674486803519,12.200000000000001,0.25,0.5,1,14.790743000000003
14.870378,-15380,-0.09970674486803519,0.09970674486803519,12.15,0.25,0.5,1,14.878010999999999
14.96368,-15380,-0.09970674486803519,0.09970674486803519,12.15,0.25,0.5,1,14.969655999999999
