time,enc_pos,voltagep_motor,voltagep_rightmotor,voltage,current_motor,current_rightmotor,zeroed,endlogtime
3.835634,-15134,0.0,0.0,12.25,0.0,0.0,0,3.8393549999999994
3.947214,-15134,-0.09970674486803519,0.09970674486803519,12.200000000000001,0.25,0.375,0,3.9515959999999994
4.031903000000001,-15134,-0.09970674486803519,0.09970674486803519,12.200000000000001,0.25,0.5,0,4.0369660000000005
4.106164000000001,-15134,-0.09970674486803519,0.09970674486803519,12.15,0.25,0.5,0,4.112602999999999
4.191162,-15134,-0.09970674486803519,0.09970674486803519,12.15,0.25,0.375,0,4.194893
4.285368,-15134,-0.09970674486803519,0.09970674486803519,12.15,0.375,0.375,0,4.292174999999999
4.360323,-15134,-0.09970674486803519,0.09970674486803519,12.15,0.25,0.5,0,4.362163000000001
4.445966,-15134,-0.09970674486803519,0.09970674486803519,12.15,0.25,0.5,0,4.454846
4.518458000000001,-15134,-0.09970674486803519,0.09970674486803519,12.15,0.25,0.5,0,4.523579
4.592023999999999,-15134,-0.09970674486803519,0.09970674486803519,12.15,0.25,0.5,0,4.597238999999999
4.668013999999999,-15134,-0.09970674486803519,0.09970674486803519,12.15,0.25,0.5,0,4.671074000000001
4.749238999999999,-15134,-0.09970674486803519,0.09970674486803519,12.15,0.25,0.5,0,4.75583
4.833951000000001,-15134,-0.09970674486803519,0.09970674486803519,12.15,0.25,0.5,0,4.8359760000000005
4.918221,-15134,-0.09970674486803519,0.09970674486803519,12.1,0.25,0.5,0,4.922037
4.986158,-15134,-0.09970674486803519,0.09970674486803519,12.1,0.25,0.5,0,4.99581
5.060334000000001,-15134,-0.09970674486803519,0.09970674486803519,12.1,0.25,0.5,0,5.062450000000001
5.140928,-15134,-0.09970674486803519,0.09970674486803519,12.1,0.25,0.5,0,5.145976000000001
5.222651,-15134,-0.09970674486803519,0.09970674486803519,12.1,0.25,0.5,0,5.2270900000000005
5.292442000000001,-15134,-0.09970674486803519,0.09970674486803519,12.1,0.25,0.5,0,5.299338
5.371768,-15134,-0.09970674486803519,0.09970674486803519,12.15,0.25,0.5,0,5.376824000000001
5.438863,-15134,-0.09970674486803519,0.09970674486803519,12.15,0.25,0.5,0,5.441197
5.522475,-15134,-0.09970674486803519,0.09970674486803519,12.1,0.25,0.5,0,5.5279240000000005
5.602517,-15134,-0.09970674486803519,0.09970674486803519,12.1,0.25,0.5,0,5.608207
5.680803,-15134,-0.09970674486803519,0.09970674486803519,12.1,0.25,0.5,0,5.682543
5.753443999999999,-15134,-0.09970674486803519,0.09970674486803519,12.1,0.25,0.5,0,5.757294
5.821540999999999,-15134,-0.09970674486803519,0.09970674486803519,12.1,0.25,0.5,0,5.8246720000000005
5.900086999999999,-15134,-0.09970674486803519,0.09970674486803519,12.1,0.25,0.375,0,5.902729999999999
5.965199,-15134,-0.09970674486803519,0.09970674486803519,12.1,0.25,0.5,0,5.975379000000001
6.061066,-15134,-0.09970674486803519,0.09970674486803519,12.1,0.25,0.5,0,6.062710000000001
6.13589,-15134,-0.09970674486803519,0.09970674486803519,12.1,0.25,0.5,0,6.1396560000000004
6.208970999999999,-15134,-0.09970674486803519,0.09970674486803519,12.1,0.25,0.5,0,6.215884
6.286950000000001,-15134,-0.09970674486803519,0.09970674486803519,12.1,0.25,0.5,0,6.291335000000001
6.363798000000001,-15134,-0.09970674486803519,0.09970674486803519,12.1,0.25,0.5,0,6.365392
6.439116,-15134,-0.09970674486803519,0.09970674486803519,12.1,0.25,0.5,0,6.441210999999999
6.519162000000001,-15134,-0.09970674486803519,0.09970674486803519,12.1,0.25,0.5,0,6.5264619999999995
6.601926,-15134,-0.09970674486803519,0.09970674486803519,12.1,0.25,0.5,0,6.603449
6.676191000000001,-15134,-0.09970674486803519,0.09970674486803519,12.1,0.25,0.5,0,6.6854130000000005
6.7686329999999995,-15318,-1.0,0.44868035190615835,12.1,32.25,2.0,0,6.772714
6.861865,-15450,-1.0,0.8973607038123167,10.2,28.375,19.0,0,6.863450000000001
6.934227000000001,-15688,-0.09970674486803519,0.6480938416422287,10.2,5.125,21.75,0,6.941389999999999
7.042914000000001,-15873,-0.09970674486803519,0.09970674486803519,11.15,0.0,3.0,0,7.055861000000001
7.1268400000000005,-15938,-0.09970674486803519,0.09970674486803519,12.0,0.0,0.375,0,7.133749
7.219017,-15822,0.37732160312805474,-0.24926686217008798,12.0,4.125,0.0,0,7.224127
7.309702,-15274,1.0,-0.6979472140762464,11.0,24.125,1.125,0,7.316333
7.396974,-14401,1.0,-1.0,11.0,13.5,5.25,0,7.401035
7.485436,-13084,1.0,-1.0,11.4,10.375,1.625,0,7.491865
7.584039000000001,-12350,-0.09970674486803519,-0.6011730205278593,11.4,1.875,9.25,0,7.585656999999999
7.681844999999999,-12013,-0.09970674486803519,-0.10263929618768329,10.9,0.875,2.625,0,7.687727000000001
7.763866,-11966,-0.09970674486803519,0.09970674486803519,12.0,0.375,0.0,0,7.772511000000001
7.844477999999999,-11966,-0.09970674486803519,0.09970674486803519,12.0,0.375,0.0,0,7.853692999999999
7.920483,-11966,-0.09970674486803519,0.09970674486803519,12.05,0.375,0.125,0,7.924115
8.009297,-11698,0.5581622678396871,-0.24926686217008798,12.05,7.375,0.125,0,8.016703
8.104263999999999,-11239,0.6686217008797654,-0.6686217008797654,11.45,8.125,2.0,0,8.107524
8.202888000000002,-10317,0.6764418377321603,-0.6764418377321603,11.45,4.375,0.5,0,8.205107
8.289214,-9291,0.6686217008797654,-0.6686217008797654,11.850000000000001,3.0,0.0,0,8.293154000000001
